"year","padded_population_of_researchers","number_of_inmigrations","number_of_outmigrations","region","incomelevel","gdp_per_capita","population","syn"
2012,15,3,0,"East Asia & Pacific","HIC",11920.0610903131,47321,FALSE
2017,4838,156,142,"Sub-Saharan Africa","LMC",1099.31546497439,41515395,FALSE
2005,157,4,2,"Europe & Central Asia","LMC",476.551885951653,5687744,FALSE
2013,88584,649,602,NA,NA,NA,NA,FALSE
2008,9326,141,179,"Middle East & North Africa","LMC",3118.1416015625,28930097,FALSE
2020,15794,131,151,"Europe & Central Asia","HIC",13439.6645555189,4087843,FALSE
2012,237,11,6,"Latin America & Caribbean","UMC",6775.74927822931,117972,FALSE
2001,52450,1333,1291,"Europe & Central Asia","HIC",27885.8083823465,15707209,FALSE
2010,168955,4523,4010,"East Asia & Pacific","HIC",57273.5204750079,24190907,FALSE
2009,565,32,16,"Middle East & North Africa","HIC",39745.7618028691,1040532,FALSE
2019,1806,117,114,"Latin America & Caribbean","HIC",23664.8823485096,3593077,FALSE
2011,67,9,11,"East Asia & Pacific","HIC",26686.8168217379,273791,FALSE
2013,10,0,0,"Latin America & Caribbean","UMC",8680.25110238522,70075,FALSE
2002,1853,110,114,"East Asia & Pacific","UMC",1052.41319921916,217112437,FALSE
2014,2043,23,41,"Europe & Central Asia","UMC",6527.6593428786,2072531,FALSE
1999,96,5,0,"Europe & Central Asia","LMC",175.555565352922,6035340,FALSE
2017,7188,340,118,"East Asia & Pacific","LMC",3077.43441889625,96648685,FALSE
2002,28284,386,436,"Europe & Central Asia","HIC",5701.63886301914,42705368,FALSE
2015,38300,603,540,"Europe & Central Asia","HIC",23664.8478631108,10566332,FALSE
1999,754,23,29,"Sub-Saharan Africa","LIC",122.961659681414,32626498,FALSE
2006,2129,90,85,"Middle East & North Africa","HIC",64528.3628232928,1444277,FALSE
2020,9248,338,294,"South Asia","LMC",1161.04432084751,161793964,FALSE
2008,44,4,6,"East Asia & Pacific","HIC",15641.657782516,52602,FALSE
2019,9650,84,218,"Europe & Central Asia","HIC",20890.1664304173,2794885,FALSE
2014,227483,2088,1919,"South Asia","LMC",1236.89276298823,1189691809,FALSE
2016,1255,62,57,"Sub-Saharan Africa","UMC",6392.98734736839,2352416,FALSE
2004,27473,353,343,"Europe & Central Asia","HIC",39054.8504423825,5288720,FALSE
1999,240,17,19,"Latin America & Caribbean","LMC",1025.40949458297,8746084,FALSE
2014,18634,555,133,"Middle East & North Africa","UMC",5621.18169491752,49276961,FALSE
2009,76614,640,739,"Middle East & North Africa","LMC",6280.68186740814,78458928,FALSE
2012,3031,93,64,"Europe & Central Asia","HIC",20381.8557827478,1331475,FALSE
1998,54,5,2,"Latin America & Caribbean","HIC",1085.78488650781,743966,FALSE
2019,11,0,0,"East Asia & Pacific","LMC",1410.01464320535,245453,FALSE
2020,94,1,4,"East Asia & Pacific","LMC",2283.57905127379,659249,FALSE
2003,68375,2090,1945,"East Asia & Pacific","HIC",32820.7936433254,19274701,FALSE
2013,49,11,6,NA,NA,NA,NA,FALSE
2002,4,2,0,"South Asia","LIC",186.035226453739,24356506,FALSE
2017,18165,128,185,"Europe & Central Asia","HIC",12957.9991142218,19908979,FALSE
2015,4628,414,143,"Middle East & North Africa","HIC",52315.6600783117,9211657,FALSE
2006,1308,57,34,"Sub-Saharan Africa","LMC",1210.16749782982,16248230,FALSE
2008,6,1,1,"Sub-Saharan Africa","LIC",1653.04153713909,656024,FALSE
2010,1821,30,36,"Europe & Central Asia","UMC",3686.4021329943,2036855,FALSE
1999,41701,732,411,NA,NA,NA,NA,FALSE
2007,184835,1728,2123,"Europe & Central Asia","HIC",40944.9124194678,58826731,FALSE
2006,13,0,0,"Europe & Central Asia","HIC",77962.1439875871,71367,FALSE
2004,13701,432,371,"East Asia & Pacific","HIC",26649.637724155,4087500,FALSE
2002,217,16,13,"Sub-Saharan Africa","LIC",343.128747081482,9372430,FALSE
2006,23157,346,414,"Europe & Central Asia","HIC",48476.3927287052,5246096,FALSE
2000,105,5,2,"Latin America & Caribbean","LMC",355.651483553824,4945100,FALSE
2019,18597,233,449,"Middle East & North Africa","LMC",4171.79038755546,45593342,FALSE
2008,43,2,9,"Sub-Saharan Africa","LMC",1384.06328381602,3081229,FALSE
2006,5,2,0,NA,NA,NA,NA,FALSE
1999,12,2,0,"Europe & Central Asia","HIC",18592.2436421492,33285,FALSE
2007,16134,426,307,"Middle East & North Africa","UMC",4996.37209760091,39476851,FALSE
2006,8,2,1,NA,NA,NA,NA,FALSE
2018,25477,970,712,"East Asia & Pacific","HIC",39973.3807587223,5312437,FALSE
2020,1268,29,54,"Middle East & North Africa","LIC",1488.41626930017,10614844,FALSE
2007,17161,618,428,"Europe & Central Asia","HIC",97503.5407803783,3996521,FALSE
2017,43766,838,732,"Middle East & North Africa","HIC",36206.5222171621,9054000,FALSE
2006,14,0,0,"Middle East & North Africa","LMC",NA,10784973,FALSE
2009,280,13,8,"East Asia & Pacific","LIC",NA,23703328,FALSE
1998,82,7,3,"Latin America & Caribbean","UMC",1361.24928059287,5353254,FALSE
2012,9,0,0,"Latin America & Caribbean","UMC",8399.70773102107,503780,FALSE
2020,7136,259,237,"Middle East & North Africa","LMC",8172.29947599133,6109252,FALSE
1998,20855,574,606,"Middle East & North Africa","LMC",1327.09651832991,87252413,FALSE
2020,138,7,10,"Europe & Central Asia","HIC",170875.682067431,32615,FALSE
2003,53,8,5,"Europe & Central Asia","HIC",79797.5468904958,89770,FALSE
2001,71,10,11,"East Asia & Pacific","HIC",17971.8922877592,389131,FALSE
2012,2,1,0,NA,NA,NA,NA,FALSE
2015,65,8,5,"Sub-Saharan Africa","UMC",8410.39798030589,1450694,FALSE
2000,35467,687,434,"East Asia & Pacific","UMC",2100.3525390625,208251628,FALSE
2012,5196,249,86,"East Asia & Pacific","LMC",2847.56794274704,99700107,FALSE
2013,1747,20,34,"Europe & Central Asia","UMC",4124.05538986272,2860324,FALSE
2013,3622,38,40,"Europe & Central Asia","HIC",13786.4567953114,1942248,FALSE
2017,177,17,1,"Sub-Saharan Africa","LMC",1061.22335618067,728889,FALSE
2017,951,31,14,"Latin America & Caribbean","UMC",6242.96145417898,11339894,FALSE
2002,27,4,4,"Sub-Saharan Africa","LMC",448.965332297245,15366864,FALSE
2006,212,14,15,"Sub-Saharan Africa","LIC",438.793472737165,9523168,FALSE
2019,22,1,3,"East Asia & Pacific","UMC",5545.60026741253,107383,FALSE
2003,53,1,2,"East Asia & Pacific","HIC",16603.4600592311,347804,FALSE
2014,80,6,3,"Latin America & Caribbean","UMC",6049.3919477765,607065,FALSE
2007,82,2,0,"South Asia","LIC",562.499219444201,2428488,FALSE
2019,62806,845,853,"Latin America & Caribbean","UMC",11317.4910611485,122839258,FALSE
2019,1260,68,138,"Sub-Saharan Africa","LMC",2107.5030239722,13555422,FALSE
2003,204138,6166,5591,"Europe & Central Asia","HIC",32853.6769523009,59370479,FALSE
2012,193,16,21,"Latin America & Caribbean","HIC",18553.6571372598,259000,FALSE
2008,97858,1320,1260,"East Asia & Pacific","HIC",21350.427979823,47644736,FALSE
2014,1926,23,31,"Europe & Central Asia","LMC",2051.12951516418,30243200,FALSE
2005,16,2,0,"Sub-Saharan Africa","UMC",9502.85881614782,994971,FALSE
2005,4591,153,141,"East Asia & Pacific","UMC",1249.39769359418,223080121,FALSE
2012,575,29,32,"Latin America & Caribbean","LMC",3181.33974721703,10916987,FALSE
2013,1147,125,89,"Latin America & Caribbean","HIC",22935.9411586313,4280993,FALSE
2017,10,0,2,"Sub-Saharan Africa","LMC",1414.58668930422,182138,FALSE
1998,6182,280,269,"East Asia & Pacific","HIC",25091.6665997966,6988685,FALSE
2001,7615,290,332,"East Asia & Pacific","HIC",21699.7414868907,3857700,FALSE
2008,139,7,12,"Sub-Saharan Africa","LMC",1003.03345506033,2073939,FALSE
2015,79,6,13,"Sub-Saharan Africa","LMC",1141.3609231718,2009169,FALSE
2006,197,36,42,NA,NA,NA,NA,FALSE
2014,15766,208,254,"Middle East & North Africa","LMC",4241.01190951928,10895063,FALSE
2004,39,5,1,"Sub-Saharan Africa","LIC",394.995797951701,4208834,FALSE
2000,151,27,29,NA,NA,NA,NA,FALSE
2016,1041,50,39,"East Asia & Pacific","LMC",1288.41808699092,83142095,FALSE
1998,8100,182,133,"East Asia & Pacific","UMC",4278.26311284951,32203944,FALSE
2015,4075,298,156,"Middle East & North Africa","HIC",66984.9102002396,2760385,FALSE
2005,20,1,2,"Latin America & Caribbean","UMC",5236.36542558777,175623,FALSE
2007,5708,102,106,"Europe & Central Asia","HIC",19672.9655554146,2039669,FALSE
2018,4562,51,41,"Europe & Central Asia","HIC",16885.4073948373,2515192,FALSE
1999,6075,84,96,"Latin America & Caribbean","UMC",3007.19307369322,23503819,FALSE
2015,1972,85,77,"Europe & Central Asia","HIC",68452.23622306,497783,FALSE
2012,156,12,5,"South Asia","LIC",626.512930450573,18670411,FALSE
2015,61,1,4,"Sub-Saharan Africa","UMC",8719.18686965483,1502091,FALSE
2002,92,3,4,"Europe & Central Asia","HIC",130818.981946144,36189,FALSE
2005,8062,353,130,"East Asia & Pacific","LMC",840.191631882336,106738501,FALSE
2001,19,2,1,"Sub-Saharan Africa","LMC",841.366313296124,182138,FALSE
2015,32281,1346,1222,"East Asia & Pacific","HIC",48537.5668888343,7110001,FALSE
2020,138,3,8,"Sub-Saharan Africa","LIC",730.611432270196,10527712,FALSE
2020,143,12,9,"Europe & Central Asia","HIC",167809.269874833,65138,FALSE
2019,253,31,9,"East Asia & Pacific","HIC",24349.9098701325,403834,FALSE
2019,3348,243,107,"Europe & Central Asia","HIC",29335.046875,1197881,FALSE
2004,6919,244,239,"Europe & Central Asia","LMC",807.801940917969,72854261,FALSE
2007,60,6,4,"Sub-Saharan Africa","LMC",1201.24750461917,18124342,FALSE
1998,27266,1438,1222,"East Asia & Pacific","HIC",21913.7081719961,19028802,FALSE
2011,80781,870,796,"Latin America & Caribbean","UMC",8500.83793850534,194517549,FALSE
2005,782,33,19,"Middle East & North Africa","HIC",26861.698544729,970981,FALSE
2017,1040,36,26,"Middle East & North Africa","UMC",4828.50488626598,29218381,FALSE
2005,782,33,55,"Sub-Saharan Africa","LIC",160.076791772058,29629804,FALSE
2020,236,13,8,"Sub-Saharan Africa","LIC",665.878447568436,11055430,FALSE
2014,90,8,5,"Sub-Saharan Africa","HIC",29724.9533355233,56609,FALSE
2004,475,10,25,"Latin America & Caribbean","LMC",951.951622939377,9711152,FALSE
2012,4769,131,77,"Middle East & North Africa","UMC",5601.46706102705,37757813,FALSE
2019,404,17,25,"Sub-Saharan Africa","LIC",847.387500434413,7288383,FALSE
2014,5478,85,130,"Latin America & Caribbean","INX",15975.7293753361,30741464,FALSE
2000,5627,165,84,"East Asia & Pacific","UMC",4278.26311284951,29477721,FALSE
2003,104,22,12,"South Asia","UMC",1476.17185000238,3039616,FALSE
2003,878,25,26,"East Asia & Pacific","LMC",367.156883682362,24763325,FALSE
2012,288,45,9,"East Asia & Pacific","HIC",29637.7670637369,277493,FALSE
2012,181,15,20,"Sub-Saharan Africa","LMC",3372.90461019719,762096,FALSE
2008,49,3,7,"East Asia & Pacific","HIC",30011.2185803948,168624,FALSE
2012,141,22,35,NA,NA,NA,NA,FALSE
2002,13162,300,319,"Latin America & Caribbean","UMC",2752.20378269319,46364681,FALSE
2017,2152,47,52,"Europe & Central Asia","UMC",6108.73917044261,2076217,FALSE
2011,26,2,4,"Sub-Saharan Africa","LMC",3583.46172510997,730216,FALSE
1999,5481,165,156,"Europe & Central Asia","HIC",10201.3035366727,21547390,FALSE
2016,76,5,0,"East Asia & Pacific","LMC",3639.41269869588,207630,FALSE
2008,561,39,26,"Middle East & North Africa","UMC",4094.34968570481,14781942,FALSE
2008,3583,57,86,"Latin America & Caribbean","UMC",4735.48107556066,4378172,FALSE
2005,22,6,0,"East Asia & Pacific","LMC",1718.26302892176,108704,FALSE
2017,124,15,13,"Sub-Saharan Africa","LMC",4396.57912043588,1118319,FALSE
2001,573,46,17,"Latin America & Caribbean","HIC",9756.50037102982,1376919,FALSE
2000,24,0,6,"Sub-Saharan Africa","LIC",327.976020750513,16923195,FALSE
2009,529,22,18,"Sub-Saharan Africa","LIC",427.83632916955,13118307,FALSE
2012,186166,1806,2779,"Europe & Central Asia","HIC",28322.9465923276,44397319,FALSE
2012,402,14,20,"Sub-Saharan Africa","UMC",9250.08111462036,1265985,FALSE
1998,16,0,0,"South Asia","LMC",423.403331774938,994564,FALSE
2001,23,4,4,"Sub-Saharan Africa","LIC",255.972618578875,4115138,FALSE
2017,207,19,14,"Latin America & Caribbean","UMC",9124.54109297075,122724,FALSE
2019,20770,255,235,"Europe & Central Asia","HIC",10727.9708633184,19983693,FALSE
2012,266,14,16,"Latin America & Caribbean","LMC",1746.42125435257,6119379,FALSE
2011,3645,53,48,"Europe & Central Asia","HIC",13338.9622350852,3344156,FALSE
2004,25,1,2,"Sub-Saharan Africa","HIC",11802.1118276833,34156,FALSE
2010,855,43,31,"Sub-Saharan Africa","UMC",6251.87742691265,2046898,FALSE
2017,64,9,3,"East Asia & Pacific","LMC",2134.80541826155,540394,FALSE
2003,666,32,24,"Latin America & Caribbean","UMC",3557.20059086002,2576567,FALSE
2012,55,2,6,"Europe & Central Asia","HIC",51431.9730976048,45660,FALSE
2018,56,5,1,"Sub-Saharan Africa","LMC",3757.65995326233,558394,FALSE
2020,407,14,15,"Sub-Saharan Africa","UMC",11643.4605962124,1258927,FALSE
2003,2,6,0,"Latin America & Caribbean","UMC",4299.37286779949,109308,FALSE
2018,39128,1008,982,"Middle East & North Africa","LMC",1941.89997269337,107465134,FALSE
2016,110520,821,1756,"Middle East & North Africa","LMC",5497.24323254699,81790841,FALSE
2001,53,9,13,"Europe & Central Asia","HIC",77033.2123647915,61833,FALSE
2018,29780,573,959,"Europe & Central Asia","HIC",16786.2136399075,9971727,FALSE
2004,523,24,20,"Latin America & Caribbean","UMC",2703.56567057465,3406334,FALSE
2006,10193,212,143,"Middle East & North Africa","LMC",3736.1777926143,48202470,FALSE
2012,164910,1708,2075,"East Asia & Pacific","HIC",31902.4169048194,60627498,FALSE
2014,23057,564,215,"East Asia & Pacific","UMC",3476.62485441547,256229761,FALSE
2006,526,19,9,"Sub-Saharan Africa","LIC",506.911838699572,14155740,FALSE
2016,32,2,1,"Europe & Central Asia","HIC",47287.3983948633,30372,FALSE
2016,19689,156,195,"Europe & Central Asia","UMC",5588.9794435877,7164132,FALSE
2019,653,61,43,"Sub-Saharan Africa","LIC",753.392137501905,11642959,FALSE
2010,152,20,11,"East Asia & Pacific","HIC",22526.5370208632,280558,FALSE
2019,62806,961,1097,"South Asia","LMC",2122.07839667492,38151603,FALSE
2005,21936,279,348,"Latin America & Caribbean","HIC",4980.01080203526,41136546,FALSE
2000,17,1,4,"Sub-Saharan Africa","LIC",283.675348129871,1230849,FALSE
2012,1978,85,51,"Sub-Saharan Africa","LIC",765.229560401644,30509862,FALSE
1999,1268,60,37,"Middle East & North Africa","LMC",1780.37606280604,4250020,FALSE
2005,803,40,39,"Middle East & North Africa","HIC",27601.4000590722,2650930,FALSE
2012,87894,1109,781,"Europe & Central Asia","UMC",11300.7852215681,32399271,FALSE
2020,5847,182,155,"East Asia & Pacific","LMC",3491.09140990663,103031365,FALSE
2019,134,6,6,"East Asia & Pacific","HIC",34609.7119829323,285265,FALSE
2017,7188,265,206,"Middle East & North Africa","LMC",4255.89430213385,11174383,FALSE
2001,279163,2382,2810,"East Asia & Pacific","HIC",34406.1824638092,126843000,FALSE
2016,892,65,41,"Middle East & North Africa","UMC",3656.85827137011,31264875,FALSE
2014,14390,227,141,"Middle East & North Africa","LMC",3430.53442382813,43451666,FALSE
2010,7811,48,47,"Europe & Central Asia","UMC",6863.66706774052,9446836,FALSE
2020,669,30,35,"Middle East & North Africa","HIC",25869.1129129041,1392803,FALSE
2014,178,30,55,NA,NA,NA,NA,FALSE
2012,74,6,6,"Sub-Saharan Africa","LMC",3312.69674458487,1057198,FALSE
2016,1041,69,42,"East Asia & Pacific","LMC",1288.41808699092,16025238,FALSE
2008,1567,40,47,"Latin America & Caribbean","HIC",8124.55830734871,3957099,FALSE
2010,30800,408,331,NA,NA,NA,NA,FALSE
2020,733,49,43,"Middle East & North Africa","UMC",3620.36048715937,16346950,FALSE
2012,24958,735,556,"Sub-Saharan Africa","LMC",1941.87947889475,156595758,FALSE
2010,125,15,6,"Europe & Central Asia","HIC",168957.10787757,32141,FALSE
2002,542,23,27,"Sub-Saharan Africa","LIC",235.852974853568,20195577,FALSE
2018,97,8,6,"Latin America & Caribbean","HIC",6477.29672607993,759709,FALSE
2014,121,13,2,"Europe & Central Asia","HIC",143289.072903488,48410,FALSE
2018,3566,283,324,"Europe & Central Asia","HIC",28281.42578125,1197881,FALSE
2008,23778,526,386,"Europe & Central Asia","HIC",53772.7942390019,5213014,FALSE
2008,3583,57,57,"Europe & Central Asia","HIC",18204.9664786762,1055438,FALSE
2005,43,4,2,"Latin America & Caribbean","LMC",848.077371929249,9266288,FALSE
1999,21,2,7,"Sub-Saharan Africa","LIC",243.877580075298,3655360,FALSE
2019,161829,2298,2555,"Europe & Central Asia","HIC",26537.1594894542,42187645,FALSE
2017,64,6,2,"East Asia & Pacific","LMC",4308.3007294066,311685,FALSE
2014,171,10,1,"Sub-Saharan Africa","LIC",717.635753333907,15455175,FALSE
2015,10,0,5,NA,NA,NA,NA,FALSE
2011,2572,101,77,"South Asia","LMC",3643.83244664348,29348627,FALSE
2008,88,8,11,"Sub-Saharan Africa","HIC",7197.11078610101,34000,FALSE
2012,4769,131,164,"Middle East & North Africa","LMC",4064.25301043642,10784504,FALSE
2000,239,20,29,"East Asia & Pacific","HIC",17651.5455802225,293541,FALSE
2003,116,14,7,"East Asia & Pacific","HIC",21817.3151192465,164580,FALSE
2014,30212,410,427,"Latin America & Caribbean","UMC",8096.80150977513,42202935,FALSE
2012,19210,1079,1211,"East Asia & Pacific","HIC",22441.571143891,34193122,FALSE
2006,3476,64,35,"Europe & Central Asia","HIC",11820.7761591359,2034319,FALSE
2019,31810,795,373,"Europe & Central Asia","HIC",103553.840134417,10421137,FALSE
2011,655,51,38,"Sub-Saharan Africa","UMC",5869.73757890628,2323352,FALSE
2010,2814,105,107,"Sub-Saharan Africa","LMC",2280.11128904338,39837875,FALSE
2010,1821,50,63,"Europe & Central Asia","UMC",5352.48809190697,2046898,FALSE
2018,15650,549,504,"Middle East & North Africa","HIC",37474.7345945939,9140169,FALSE
2001,8,1,1,"East Asia & Pacific","UMC",1937.04234475148,103210,FALSE
2019,32065,835,638,"Latin America & Caribbean","UMC",6228.65162186089,47625955,FALSE
2019,14,0,2,"Europe & Central Asia","UMC",5453.15500459414,6158420,FALSE
2013,202,41,32,NA,NA,NA,NA,FALSE
2019,2339,101,67,"Sub-Saharan Africa","LMC",1631.7139850845,15157793,FALSE
2019,6956,265,286,"Middle East & North Africa","LMC",8925.42186017072,5662923,FALSE
2002,286926,2714,3491,"East Asia & Pacific","HIC",36610.1683163197,126631000,FALSE
2007,178,17,7,"Latin America & Caribbean","UMC",2814.58988893523,13739299,FALSE
2006,217,18,13,"Sub-Saharan Africa","LIC",458.615152006485,6998023,FALSE
2019,425,32,29,"Sub-Saharan Africa","UMC",6680.08266467748,1653542,FALSE
2017,23,3,2,"East Asia & Pacific","HIC",13195.9358995539,12315,FALSE
2018,1646,60,83,"Sub-Saharan Africa","LIC",537.932204050438,26169542,FALSE
2013,34,2,3,"East Asia & Pacific","LMC",3902.31199231566,107868,FALSE
2010,1436,118,67,"Middle East & North Africa","HIC",22552.1990071233,2943356,FALSE
2018,343,21,18,"South Asia","LIC",549.81612778082,37769499,FALSE
2003,62,9,8,"Europe & Central Asia","HIC",74658.453942256,98462,FALSE
2003,104,6,8,"Sub-Saharan Africa","LIC",328.018329206652,18694946,FALSE
2006,48,5,5,"Sub-Saharan Africa","LMC",1289.79485002143,7745200,FALSE
1998,230,11,5,"Sub-Saharan Africa","LMC",540.673889592354,7212041,FALSE
2003,5,4,1,"East Asia & Pacific","UMC",1754.84187972624,101343,FALSE
2009,1656,51,73,"Sub-Saharan Africa","LMC",1286.60496647046,10932783,FALSE
2009,3541,127,120,"Sub-Saharan Africa","LMC",2201.77682813479,41648268,FALSE
2015,5591,85,206,"Latin America & Caribbean","INX",15975.7293753361,31605486,FALSE
2009,176056,4171,3893,"North America","HIC",47194.9433547336,34339328,FALSE
2017,119,10,6,"Europe & Central Asia","HIC",59328.2376643374,27695,FALSE
2013,69,3,3,"East Asia & Pacific","LIC",NA,25389611,FALSE
2020,40,2,1,"Sub-Saharan Africa","LMC",1531.33781085759,527521,FALSE
2005,217,15,19,"Sub-Saharan Africa","LIC",403.020713102699,4996741,FALSE
2009,1355,50,66,"Sub-Saharan Africa","LMC",1258.96419689048,12290444,FALSE
2019,54865,2038,1520,"Europe & Central Asia","HIC",44198.4823908691,11274196,FALSE
2010,21531,270,177,"Middle East & North Africa","LMC",3430.53442382813,33352169,FALSE
2001,7297,118,104,"Latin America & Caribbean","UMC",3403.29616311163,35196037,FALSE
2000,1000,105,38,"Europe & Central Asia","UMC",888.901389665655,36925253,FALSE
2005,2702,37,19,"Europe & Central Asia","HIC",7854.76527867855,2410019,FALSE
2001,16,0,0,"South Asia","LIC",NA,24469047,FALSE
2013,548,10,13,"Sub-Saharan Africa","LIC",632.001024153219,7493913,FALSE
2004,7273,124,96,"Middle East & North Africa","LMC",2062.69597047352,11170051,FALSE
2020,344091,2695,4638,"Europe & Central Asia","HIC",34622.1696664741,65611593,FALSE
1999,1038,15,41,"Europe & Central Asia","UMC",399.499818596336,2043559,FALSE
2002,68,17,13,"Latin America & Caribbean","LMC",1568.81689878282,1094886,FALSE
2014,74,5,4,"Sub-Saharan Africa","HIC",14729.6266228185,64554,FALSE
2009,60,3,10,"East Asia & Pacific","HIC",29335.2776765099,67311,FALSE
2004,740,26,39,"Sub-Saharan Africa","LMC",941.873792468596,10698691,FALSE
2018,3116,135,90,"Middle East & North Africa","HIC",16707.6230063214,4065253,FALSE
2004,1243,55,49,"South Asia","LMC",869.753488572239,19490431,FALSE
2014,2240,157,106,"Middle East & North Africa","HIC",29258.2663270479,3193354,FALSE
2017,7390,609,382,"Middle East & North Africa","HIC",41054.5395699204,8916899,FALSE
2005,87,5,6,"Sub-Saharan Africa","LIC",420.528739757639,6612385,FALSE
2018,222,25,3,"Sub-Saharan Africa","LIC",497.036120831726,33753499,FALSE
2010,107237,883,703,"Europe & Central Asia","HIC",28389.0785799873,46480882,FALSE
2017,390,14,25,"East Asia & Pacific","LMC",1984.5086701174,2581242,FALSE
2018,467,27,14,"East Asia & Pacific","LMC",2584.32780208122,7319399,FALSE
1999,189,9,6,"Sub-Saharan Africa","LIC",297.899506747022,10903327,FALSE
2003,14913,207,240,"Europe & Central Asia","LMC",635.757934570313,50144500,FALSE
2003,329,20,12,"Middle East & North Africa","HIC",25836.2707926738,711442,FALSE
2016,356,45,25,"East Asia & Pacific","HIC",30681.4339698653,271240,FALSE
1999,29,4,1,"Sub-Saharan Africa","LIC",301.495570983905,8223941,FALSE
2011,440,19,21,"Latin America & Caribbean","HIC",17381.3650865426,1369075,FALSE
2003,5352,202,115,"East Asia & Pacific","UMC",3100.45899923828,62442651,FALSE
2008,192535,1468,2123,"Europe & Central Asia","HIC",15700.0135796738,46620045,FALSE
2019,133,5,4,"Sub-Saharan Africa","LIC",257.818557410131,4898400,FALSE
2015,13,1,0,"Latin America & Caribbean","HIC",16374.256885994,51123,FALSE
2006,95,11,2,"Europe & Central Asia","HIC",149461.78557146,56186,FALSE
2004,6919,120,145,"Europe & Central Asia","HIC",18098.9085440003,5398384,FALSE
2020,805,55,36,"Middle East & North Africa","UMC",5736.89895897239,6355404,FALSE
2003,36613,1051,1102,"Europe & Central Asia","HIC",32294.0488606559,8958229,FALSE
2000,119,8,6,"East Asia & Pacific","HIC",15847.9302982406,580997,FALSE
2018,624,46,28,"Sub-Saharan Africa","UMC",6436.60331866558,1653542,FALSE
2006,584,17,37,"Sub-Saharan Africa","UMC",5142.91383354359,1761930,FALSE
1998,27266,967,1017,"Europe & Central Asia","HIC",30743.5476816354,7481000,FALSE
2005,994,46,38,"Sub-Saharan Africa","LMC",1303.56496674267,15858990,FALSE
2010,517,32,22,"Latin America & Caribbean","UMC",2191.78178736868,13070609,FALSE
2012,73,6,8,"Sub-Saharan Africa","LMC",1165.05065002416,2143872,FALSE
2008,656,19,20,"Europe & Central Asia","UMC",4950.39949009423,2868833,FALSE
2013,1682,118,61,"Europe & Central Asia","HIC",120000.140729859,335439,FALSE
2003,150,17,17,"Sub-Saharan Africa","LIC",431.696660975605,5209324,FALSE
2015,15,0,0,"East Asia & Pacific","LMC",1410.01464320535,182211,FALSE
2012,70,6,3,"Europe & Central Asia","HIC",44366.7858688175,82781,FALSE
2010,21531,660,767,"East Asia & Pacific","HIC",26654.5932018985,5183688,FALSE
2010,23,1,0,"South Asia","UMC",7158.06142131359,503780,FALSE
2005,157,15,8,"Sub-Saharan Africa","UMC",5240.316159068,1228254,FALSE
2008,865,48,39,"Latin America & Caribbean","UMC",6771.41662014884,4679926,FALSE
2018,13,2,1,"Latin America & Caribbean","UMC",7386.74663845115,68888,FALSE
2010,16,0,1,"Sub-Saharan Africa","UMC",17644.5943045414,864726,FALSE
2019,102,31,24,"Sub-Saharan Africa","LMC",4396.57912043588,1160428,FALSE
2008,6,0,4,"Sub-Saharan Africa","LIC",583.268305937751,882886,FALSE
2014,1240387,17628,23310,"North America","HIC",59907.754260885,318386329,FALSE
2009,99544,576,528,"East Asia & Pacific","UMC",5614.3860223103,144067316,FALSE
2004,4203,124,48,"Middle East & North Africa","LMC",2177.798828125,24848016,FALSE
2002,711,36,55,"Sub-Saharan Africa","LMC",585.331799194534,12160881,FALSE
2014,172868,2013,1986,"Europe & Central Asia","HIC",25754.36102944,44397319,FALSE
2004,4203,97,48,"Middle East & North Africa","LMC",2624.79523151946,26811790,FALSE
2019,18717,191,234,"Europe & Central Asia","UMC",6809.15980400146,7020858,FALSE
2009,1338,28,28,"Europe & Central Asia","LMC",3078.41479492188,32388600,FALSE
2007,7907,175,179,"Middle East & North Africa","LMC",3898.47878787317,7480591,FALSE
2018,31446,1424,1565,"Europe & Central Asia","HIC",85973.0884875501,5607283,FALSE
2001,55623,1460,1590,"Europe & Central Asia","UMC",1330.75720214844,91240376,FALSE
2020,6158,180,192,"East Asia & Pacific","LMC",3194.67270132209,99700107,FALSE
1998,1747,80,102,"Latin America & Caribbean","HIC",16192.1269719638,3206870,FALSE
2017,6,0,1,NA,NA,NA,NA,FALSE
2012,35812,641,782,"Europe & Central Asia","HIC",42801.9081167285,8215700,FALSE
2001,386,20,11,"Europe & Central Asia","UMC",1915.39281060996,2026350,FALSE
2011,85639,1797,1906,"Europe & Central Asia","HIC",44900.9381441374,17030314,FALSE
1998,968,23,18,"Sub-Saharan Africa","LIC",119.261857260772,78123713,FALSE
2016,44,3,5,"North America","HIC",107791.886435134,49500,FALSE
2016,32,1,4,NA,NA,NA,NA,FALSE
2011,540,32,18,"Middle East & North Africa","HIC",25102.726348527,409379,FALSE
2002,19,2,1,"East Asia & Pacific","LMC",1309.04758427698,603234,FALSE
2006,18,2,1,"East Asia & Pacific","LMC",2256.01135749054,245453,FALSE
2000,790,34,41,"Sub-Saharan Africa","UMC",3351.6965168531,4243607,FALSE
2008,247231,6331,6364,"Europe & Central Asia","HIC",46298.9229177341,82110097,FALSE
1999,7192,95,187,"Europe & Central Asia","UMC",2719.49436859287,8009142,FALSE
2003,1596,49,53,"Middle East & North Africa","LMC",4021.17726323273,22605577,FALSE
